Date,window_start,window_end,source_engine,published,source,title,snippet,url,impact_score,weekly_strength_score,direction_alignment,matched_terms
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,qahwaworld.com,Coffee Prices Surpass $4 per Pound Amid Global Supply Strains - Qahwa World,,https://qahwaworld.com/news/coffee-prices-above-4-dollars-2025,6.0,4.75,0,supply strains; surpass
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2025-09-16,2025-09-12,2025-09-23,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,www.barchart.com,Coffee Dec '25 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/KCZ25,0.0,0.25,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,www.investing.com,US Coffee C Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/us-coffee-c-historical-data,0.0,0.25,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,ycharts.com,Coffee Arabica Price (Monthly) - Historical Data & Trends,,https://ycharts.com/indicators/world_coffee_arabica_price,0.0,0.5,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,tradingeconomics.com,Arabica Coffee Futures Slip - TRADING ECONOMICS,,https://tradingeconomics.com/commodity/coffee/news/501456,0.0,0.75,0,
2025-12-11,2025-12-07,2025-12-18,duckduckgo,,www.reuters.com,Arabica coffee prices seen falling 30% by end-2025 | Reuters,,https://www.reuters.com/markets/commodities/arabica-coffee-prices-seen-falling-30-by-end-2025-2025-02-13/,-2.0,2.0,1,falling
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,www.aeki-aice.org,"World Coffee Prices 2026: Arabica, Robusta & Price Predictions",,https://www.aeki-aice.org/en/world-coffee-prices-2026/,0.0,0.75,0,
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,www.sampoq.com,"Coffee (Arabica) Price Today — Chart, History & 2026 Forecast",,https://www.sampoq.com/commodity/coffee,0.0,0.5,0,
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,www.barchart.com,Arabica Coffee 4/5 Sep '26 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/XFU26,0.0,0.5,0,
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,www.barchart.com,Arabica Coffee 4/5 Prices and Arabica Coffee 4/5 Futures Prices ...,,https://www.barchart.com/futures/quotes/XFH26/futures-prices?viewName=main,0.0,0.5,0,
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2026-06-29,2026-06-25,2026-07-06,duckduckgo,,qahwaworld.com,ICO Coffee Market Report June 2026 Overview - Qahwa World,,https://qahwaworld.com/news/ico-coffee-market-report-june-2026,0.0,0.25,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,www.barchart.com,Coffee Dec '25 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/KCZ25,0.0,0.25,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,www.investing.com,US Coffee C Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/us-coffee-c-historical-data,0.0,0.25,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,ycharts.com,Coffee Arabica Price (Monthly) - Historical Data & Trends,,https://ycharts.com/indicators/world_coffee_arabica_price,0.0,0.5,0,
2025-12-12,2025-12-08,2025-12-19,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,commoditypriceapi.com,Live Coffee Arabica Price & Charts | CommodityPriceAPI,,https://commoditypriceapi.com/tools/ca/prices,0.0,0.5,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,www.barchart.com,Coffee Sep '25 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/KCU25,0.0,0.25,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee+(Arabica),0.0,0.5,0,
2025-08-15,2025-08-11,2025-08-22,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,ycharts.com,Coffee Arabica Price (Monthly) - Historical Data & Trends,,https://ycharts.com/indicators/world_coffee_arabica_price,0.0,0.5,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,commoditypriceapi.com,Live Coffee Arabica Price & Charts | CommodityPriceAPI,,https://commoditypriceapi.com/tools/ca/prices,0.0,0.5,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2024-12-03,2024-11-29,2024-12-10,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,ycharts.com,Coffee Arabica Price (Monthly) - Historical Data & Trends,,https://ycharts.com/indicators/world_coffee_arabica_price,0.0,0.5,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,futures.tradingcharts.com,Coffee Historical Prices Charts - xHistorical Commodity Futures Charts ...,,https://futures.tradingcharts.com/hist_CF.html,0.0,0.25,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,in.investing.com,Arabica Coffee 4/5 Futures Price History Chart - Investing.com IN,,https://in.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,www.ifcmarkets.com,Coffee Price History | Arabica Coffee Historical Prices | IFCM,,https://www.ifcmarkets.com/en/historical-data/commodities-history/coffee,0.0,0.5,0,
2023-01-24,2023-01-20,2023-01-31,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,www.aeki-aice.org,"World Coffee Prices 2026: Arabica, Robusta & Price Predictions",,https://www.aeki-aice.org/en/world-coffee-prices-2026/,0.0,0.75,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,j2t.com,Coffee price forecast from 2026 to 2030. Luckin coffee stock price ...,,https://j2t.com/solutions/blogview/coffee-price-forecast/,0.0,0.25,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,www.sampoq.com,"Coffee (Arabica) Price Today — Chart, History & 2026 Forecast",,https://www.sampoq.com/commodity/coffee,0.0,0.5,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,www.helenacoffee.vn,Arabica and Robusta Price Forecast (2026-2027) Part 1,,https://www.helenacoffee.vn/coffee-price-forecast-2026-2027-part-1/,0.0,0.5,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,www.investing.com,US Coffee C Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/us-coffee-c-historical-data,0.0,0.25,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2026-01-27,2026-01-23,2026-02-03,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,commoditypriceapi.com,Live Coffee Arabica Price & Charts | CommodityPriceAPI,,https://commoditypriceapi.com/tools/ca/prices,0.0,0.5,0,
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,qahwaworld.com,Brazil Drought and U.S. Tariffs Lift Coffee Prices - Qahwa World,,https://qahwaworld.com/news/brazil-coffee-prices-2025,5.0,4.25,1,drought
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,www.barchart.com,Coffee Sep '25 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/KCU25,0.0,0.25,0,
2025-08-18,2025-08-14,2025-08-25,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,coffeetalk.com,Coffee Cost Crisis Estimated to Ease With Predictions of 30% Fall by ...,,https://coffeetalk.com/daily-dose/top-news/02-2025/106383/,-1.0,1.0,0,ease
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,www.reuters.com,Arabica coffee prices seen falling 30% by end-2025 | Reuters,,https://www.reuters.com/markets/commodities/arabica-coffee-prices-seen-falling-30-by-end-2025-2025-02-13/,-2.0,2.0,0,falling
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,perfectdailygrind.com,Arabica futures are over US $4.30/lb: It's a new era for coffee,,https://perfectdailygrind.com/2025/02/coffee-prices-record-highs-roasters/,0.0,0.5,0,
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-02-03,2025-01-30,2025-02-10,duckduckgo,,www.investing.com,US Coffee C Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/us-coffee-c-historical-data,0.0,0.25,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,www.barchart.com,Coffee Dec '25 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/KCZ25,0.0,0.25,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2025-08-12,2025-08-08,2025-08-19,duckduckgo,,commoditypriceapi.com,Live Coffee Arabica Price & Charts | CommodityPriceAPI,,https://commoditypriceapi.com/tools/ca/prices,0.0,0.5,0,
2026-06-09,2026-06-05,2026-06-16,gdelt,20260615T131500Z,beveragedaily.com,Uganda Ebola Crisis : Coffee Trade Risk Offset by Global Supply Boom,,https://www.beveragedaily.com/Article/2026/06/12/uganda-ebola-crisis-coffee-trade-risk-offset-by-global-supply-boom/,0.0,0.25,0,
2026-06-09,2026-06-05,2026-06-16,gdelt,20260616T124500Z,bakeryandsnacks.com,Uganda Ebola Crisis : Coffee Trade Risk Offset by Global Supply Boom,,https://www.bakeryandsnacks.com/Article/2026/06/12/uganda-ebola-crisis-coffee-trade-risk-offset-by-global-supply-boom/,0.0,0.25,0,
2026-06-09,2026-06-05,2026-06-16,gdelt,20260616T061500Z,foodnavigator-asia.com,Uganda Ebola Crisis : Coffee Trade Risk Offset by Global Supply Boom,,https://www.foodnavigator-asia.com/Article/2026/06/12/uganda-ebola-crisis-coffee-trade-risk-offset-by-global-supply-boom/,0.0,0.25,0,
2026-06-09,2026-06-05,2026-06-16,gdelt,20260609T214500Z,ocregister.com,Briefly : Smucker to lower its coffee prices next year,,https://www.ocregister.com/2026/06/09/smucker-plans-to-lower-coffee-prices-next-year-as-costs-drop/,-1.0,1.0,0,lower
2026-06-09,2026-06-05,2026-06-16,gdelt,20260608T063000Z,rte.ie,Why your takeaway coffee costs more than it did a few years ago,,https://www.rte.ie/brainstorm/2026/0608/1576587-takeaway-coffee-price-supply-chain-economics-climate-change-inflation-vietnam/,0.0,0.25,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,tradingeconomics.com,Coffee - Price - Chart - Historical Data - News,,https://tradingeconomics.com/commodity/coffee,0.0,0.25,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,www.ice.com,Coffee C Futures Pricing,,https://www.ice.com/products/15/Coffee-C-Futures/data,0.0,0.25,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,www.barchart.com,Coffee Prices and Coffee Futures Prices - Barchart.com,,https://www.barchart.com/futures/quotes/KC*0/futures-prices,0.0,0.5,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,markets.ft.com,Coffee (Arabica) price information - FT.com,,https://markets.ft.com/data/commodities/tearsheet/summary?c=Coffee (Arabica),0.0,0.5,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,www.barchart.com,Coffee Sep '25 Futures Price - Barchart.com,,https://www.barchart.com/futures/quotes/KCU25,0.0,0.25,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Historical Prices - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5-historical-data,0.0,0.5,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,www.investing.com,Arabica Coffee 4/5 Futures Price Today - Investing.com,,https://www.investing.com/commodities/arabica-coffee-4-5,0.0,0.5,0,
2025-08-13,2025-08-09,2025-08-20,duckduckgo,,commoditypriceapi.com,Live Coffee Arabica Price & Charts | CommodityPriceAPI,,https://commoditypriceapi.com/tools/ca/prices,0.0,0.5,0,
